eartag,species,date,dpi,barn,serostatus_start,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest
122,Caprine,13/10/2020,4,3,N,0.152,12.32,Neg,0.132,9.76,Neg,,,,,,,,,,,,,,,,
135,Caprine,13/10/2020,4,3,N,0.135,10.14,Neg,0.31,32.61,Pos,,,,,,,,,,,,,,,,
145,Caprine,13/10/2020,4,3,N,0.151,12.2,Neg,0.137,10.4,Neg,,,,,,,,,,,,,,,,
148,Caprine,13/10/2020,4,3,N,0.127,9.11,Neg,0.155,12.71,Neg,,,,,,,,,,,,,,,,
122,Caprine,16/10/2020,7,3,N,2.885,528.25,Pos,0.274,36.5,Pos,,,,,,,,,,,,,,,,
135,Caprine,16/10/2020,7,3,N,3.485,641.24,Pos,3.488,641.8,Pos,,,,,,,,,,,,,,,,
145,Caprine,16/10/2020,7,3,N,3.409,626.93,Pos,3.617,666.1,Pos,,,,,,,,,,,,,,,,
148,Caprine,16/10/2020,7,3,N,3.46,636.53,Pos,1.745,313.6,Pos,,,,,,,,,,,,,,,,
122,Caprine,19/10/2020,10,3,N,0.189,20.53,Pos,0.159,14.9,Neg,,,,,,,,,,,,,,,,
135,Caprine,19/10/2020,10,3,N,1.257,221.66,Pos,3.1,568.7,Pos,,,,,,,,,,,,,,,,
145,Caprine,19/10/2020,10,3,N,3.272,601.13,Pos,3.567,656.7,Pos,,,,,,,,,,,,,,,,
148,Caprine,19/10/2020,10,3,N,0.177,18.27,Neg,1.134,198.5,Pos,,,,,,,,,,,,,,,,
122,Caprine,23/10/2020,14,3,N,0.113,3.1,Neg,0.143,6.3,Neg,,,,,,,,,,,,,,,,
135,Caprine,23/10/2020,14,3,N,0.108,2.57,Neg,0.141,6.1,Neg,,,,,,,,,,,,,,,,
145,Caprine,23/10/2020,14,3,N,0.173,9.53,Neg,0.339,27.3,Pos,,,,,,,,,,,,,,,,
148,Caprine,23/10/2020,14,3,N,0.103,2.03,Neg,0.074,-1.1,Neg,,,,,,,,,,,,,,,,
136,Caprine,13/10/2020,4,4,P,0.141,10.91,Neg,0.114,7.45,Neg,,,,,,,,,,,,,,,,
142,Caprine,13/10/2020,4,4,P,0.116,7.7,Neg,0.16,13.35,Neg,,,,,,,,,,,,,,,,
147,Caprine,13/10/2020,4,4,P,0.143,11.17,Neg,0.161,13.48,Neg,,,,,,,,,,,,,,,,
136,Caprine,16/10/2020,7,4,P,0.053,-5.08,Neg,0.061,-3.6,Neg,,,,,,,,,,,,,,,,
142,Caprine,16/10/2020,7,4,P,0.055,-4.71,Neg,0.063,-3.2,Neg,,,,,,,,,,,,,,,,
147,Caprine,16/10/2020,7,4,P,0.058,-4.14,Neg,0.076,-0.8,Neg,,,,,,,,,,,,,,,,
136,Caprine,19/10/2020,10,4,P,0.114,6.4,Neg,0.195,21.7,Pos,,,,,,,,,,,,,,,,
142,Caprine,19/10/2020,10,4,P,0.126,8.66,Neg,0.219,26.2,Pos,,,,,,,,,,,,,,,,
147,Caprine,19/10/2020,10,4,P,0.15,13.18,Neg,0.154,13.9,Neg,,,,,,,,,,,,,,,,
136,Caprine,23/10/2020,14,4,P,0.079,-0.54,Neg,0.122,4.1,Neg,,,,,,,,,,,,,,,,
142,Caprine,23/10/2020,14,4,P,0.076,-0.86,Neg,0.124,4.3,Neg,,,,,,,,,,,,,,,,
147,Caprine,23/10/2020,14,4,P,0.091,0.75,Neg,0.178,10.1,Neg,,,,,,,,,,,,,,,,
131,Caprine,13/10/2020,4,6,N,0.154,12.58,Neg,0.13,9.5,Neg,,,,,,,,,,,,,,,,
137,Caprine,13/10/2020,4,6,N,0.44,49.29,Pos,0.245,24.26,Pos,,,,,,,,,,,,,,,,
141,Caprine,13/10/2020,4,6,N,0.125,8.86,Neg,0.169,14.51,Neg,,,,,,,,,,,,,,,,
131,Caprine,15/10/2020,7,6,N,1.595,285.31,Pos,2.233,405.5,Pos,,,,,,,,,,,,,,,,
137,Caprine,16/10/2020,7,6,N,3.469,638.23,Pos,3.462,636.9,Pos,,,,,,,,,,,,,,,,
141,Caprine,16/10/2020,7,6,N,3.494,642.94,Pos,3.453,635.2,Pos,,,,,,,,,,,,,,,,
131,Caprine,19/10/2020,10,6,N,0.152,13.56,Neg,0.117,7,Neg,,,,,,,,,,,,,,,,
137,Caprine,19/10/2020,10,6,N,0.772,130.32,Pos,1.06,184.6,Pos,,,,,,,,,,,,,,,,
141,Caprine,19/10/2020,10,6,N,3.329,611.86,Pos,3.303,607,Pos,,,,,,,,,,,,,,,,
131,Caprine,23/10/2020,14,6,N,0.113,3.10,Neg,0.138,5.8,Neg,,,,,,,,,,,,,,,,
137,Caprine,23/10/2020,14,6,N,0.139,5.89,Neg,0.244,17.1,Neg,,,,,,,,,,,,,,,,
141,Caprine,23/10/2020,14,6,N,0.138,5.78,Neg,0.137,5.7,Neg,,,,,,,,,,,,,,,,
