eartag,species,date,dpi,barn,serostatus_start,od1,od2,delete,od_avg,sn,status,expt
122,Caprine,13/10/2020,4,3,N,1.01,0.998,N,1.004,78.96185608,Neg,
135,Caprine,13/10/2020,4,3,N,1.136,1.111,N,1.1235,88.36020448,Neg,
145,Caprine,13/10/2020,4,3,N,0.958,0.961,P,0.9595,75.46205269,Neg,
148,Caprine,13/10/2020,4,3,N,1.085,1.072,N,1.0785,84.82107747,Neg,
122,Caprine,16/10/2020,7,3,N,0.128,0.123,P,0.1255,8.397457344,Pos,
135,Caprine,16/10/2020,7,3,N,0.177,0.168,P,0.1725,11.54232185,Pos,
145,Caprine,16/10/2020,7,3,N,0.169,0.17,P,0.1695,11.34158581,Pos,
148,Caprine,16/10/2020,7,3,N,0.139,0.149,P,0.144,9.635329542,Pos,
122,Caprine,19/10/2020,10,3,N,0.102,0.094,P,0.098,7.495219885,Pos,
135,Caprine,19/10/2020,10,3,N,0.087,0.087,P,0.087,6.653919694,Pos,
145,Caprine,19/10/2020,10,3,N,0.072,0.074,P,0.073,5.583173996,Pos,
148,Caprine,19/10/2020,10,3,N,0.119,0.116,P,0.1175,8.986615679,Pos,
122,Caprine,23/10/2020,14,3,N,0.14,0.15,P,0.14,10.87,Pos,
135,Caprine,23/10/2020,14,3,N,0.15,0.13,P,0.14,10.41,Pos,
145,Caprine,23/10/2020,14,3,N,0.13,0.13,P,0.13,10.14,Pos,
148,Caprine,23/10/2020,14,3,N,0.15,0.14,P,0.14,11.02,Pos,
136,Caprine,13/10/2020,4,4,P,0.111,0.11,P,0.1105,8.690523004,Pos,
142,Caprine,13/10/2020,4,4,P,0.062,0.067,P,0.0645,5.072748722,Pos,
147,Caprine,13/10/2020,4,4,P,0.074,0.077,P,0.0755,5.937868659,Pos,
136,Caprine,16/10/2020,7,4,P,0.093,0.101,P,0.097,6.490465038,Pos,
142,Caprine,16/10/2020,7,4,P,0.071,0.074,P,0.0725,4.851120776,Pos,
147,Caprine,16/10/2020,7,4,P,0.098,0.107,P,0.1025,6.858481097,Pos,
136,Caprine,19/10/2020,10,4,P,0.093,0.1,P,0.0965,7.380497132,Pos,
142,Caprine,19/10/2020,10,4,P,0.106,0.096,P,0.101,7.724665392,Pos,
147,Caprine,19/10/2020,10,4,P,0.101,0.11,P,0.1055,8.068833652,Pos,
136,Caprine,23/10/2020,14,4,P,0.09,0.08,P,0.08,6.43,Pos,
142,Caprine,23/10/2020,14,4,P,0.07,0.07,P,0.07,5.59,Pos,
147,Caprine,23/10/2020,14,4,P,0.09,0.09,P,0.09,6.89,Pos,
131,Caprine,13/10/2020,4,6,N,1.035,1.028,N,1.0315,81.12465592,Neg,
137,Caprine,13/10/2020,4,6,N,0.901,0.881,P,0.891,70.0747149,Neg,
141,Caprine,13/10/2020,4,6,N,0.984,0.972,P,0.978,76.91702713,Neg,
131,Caprine,15/10/2020,7,6,N,0.133,0.134,P,0.1335,8.932753429,Pos,
137,Caprine,16/10/2020,7,6,N,0.101,0.098,P,0.0995,6.657745065,Pos,
141,Caprine,16/10/2020,7,6,N,0.223,0.223,P,0.223,14.92137839,Pos,
131,Caprine,19/10/2020,10,6,N,0.102,0.1,P,0.101,7.724665392,Pos,
137,Caprine,19/10/2020,10,6,N,0.079,0.076,P,0.0775,5.927342256,Pos,
141,Caprine,19/10/2020,10,6,N,0.08,0.082,P,0.081,6.195028681,Pos,
131,Caprine,23/10/2020,14,6,N,0.14,0.15,P,0.14,11.06,Pos,
137,Caprine,23/10/2020,14,6,N,0.11,0.12,P,0.12,8.96,Pos,
141,Caprine,23/10/2020,14,6,N,0.11,0.11,P,0.11,8.5,Pos,
